,year,state,lbs_of_honey
633,2004,US TOTAL,61203000
634,2004,ALABAMA,282000
635,2004,ARIZONA,774000
636,2004,ARKANSAS,388000
637,2004,CALIFORNIA,5792000
638,2004,COLORADO,791000
639,2004,FLORIDA,2009000
640,2004,GEORGIA,648000
641,2004,HAWAII,77000
642,2004,IDAHO,2520000
643,2004,ILLINOIS,193000
644,2004,INDIANA,145000
645,2004,IOWA,1337000
646,2004,KANSAS,683000
647,2004,KENTUCKY,34000
648,2004,LOUISIANA,240000
649,2004,MAINE,37000
650,2004,MICHIGAN,2439000
651,2004,MINNESOTA,1924000
652,2004,MISSISSIPPI,421000
653,2004,MISSOURI,151000
654,2004,MONTANA,3773000
655,2004,NEBRASKA,2043000
656,2004,NEVADA,316000
657,2004,NEW JERSEY,45000
658,2004,NEW MEXICO,127000
659,2004,NEW YORK,1887000
660,2004,NORTH CAROLINA,72000
661,2004,NORTH DAKOTA,9126000
662,2004,OHIO,353000
663,2004,OREGON,1111000
664,2004,OTHER STATES,222000
665,2004,PENNSYLVANIA,810000
666,2004,SOUTH DAKOTA,13545000
667,2004,TENNESSEE,91000
668,2004,TEXAS,1411000
669,2004,UTAH,554000
670,2004,VERMONT,192000
671,2004,VIRGINIA,69000
672,2004,WASHINGTON,1376000
673,2004,WEST VIRGINIA,183000
674,2004,WISCONSIN,2632000
675,2004,WYOMING,380000
676,2003,US TOTAL,40785000
677,2003,ALABAMA,43000
678,2003,ARIZONA,983000
679,2003,ARKANSAS,810000
680,2003,CALIFORNIA,6432000
681,2003,COLORADO,722000
682,2003,FLORIDA,1491000
683,2003,GEORGIA,270000
684,2003,HAWAII,43000
685,2003,IDAHO,1380000
686,2003,ILLINOIS,252000
687,2003,INDIANA,78000
688,2003,IOWA,868000
689,2003,KANSAS,447000
690,2003,KENTUCKY,14000
691,2003,LOUISIANA,275000
692,2003,MAINE,145000
693,2003,MARYLAND,21000
694,2003,MICHIGAN,1732000
695,2003,MINNESOTA,1892000
696,2003,MISSISSIPPI,246000
697,2003,MISSOURI,189000
698,2003,MONTANA,1914000
699,2003,NEBRASKA,1299000
700,2003,NEVADA,46000
701,2003,NEW JERSEY,101000
702,2003,NEW MEXICO,108000
703,2003,NEW YORK,1640000
704,2003,NORTH CAROLINA,79000
705,2003,NORTH DAKOTA,6803000
706,2003,OHIO,278000
707,2003,OKLAHOMA,69000
708,2003,OREGON,964000
709,2003,OTHER STATES,166000
710,2003,PENNSYLVANIA,419000
711,2003,SOUTH CAROLINA,8000
712,2003,SOUTH DAKOTA,2709000
713,2003,TENNESSEE,46000
714,2003,TEXAS,1126000
715,2003,UTAH,157000
716,2003,VERMONT,163000
717,2003,VIRGINIA,69000
718,2003,WASHINGTON,942000
719,2003,WEST VIRGINIA,194000
720,2003,WISCONSIN,2678000
721,2003,WYOMING,474000
722,2002,US TOTAL,39393000
723,2002,ALABAMA,103000
724,2002,ARIZONA,1197000
725,2002,ARKANSAS,871000
726,2002,CALIFORNIA,3525000
727,2002,COLORADO,576000
728,2002,FLORIDA,2026000
729,2002,GEORGIA,52000
730,2002,HAWAII,29000
731,2002,IDAHO,1653000
732,2002,ILLINOIS,130000
733,2002,INDIANA,233000
734,2002,IOWA,901000
735,2002,KANSAS,407000
736,2002,KENTUCKY,78000
737,2002,LOUISIANA,347000
738,2002,MAINE,266000
739,2002,MARYLAND,21000
740,2002,MICHIGAN,1885000
741,2002,MINNESOTA,1110000
742,2002,MISSISSIPPI,281000
743,2002,MISSOURI,189000
744,2002,MONTANA,1097000
745,2002,NEBRASKA,1161000
746,2002,NEVADA,61000
747,2002,NEW JERSEY,92000
748,2002,NEW MEXICO,252000
749,2002,NEW YORK,2470000
750,2002,NORTH CAROLINA,74000
751,2002,NORTH DAKOTA,8160000
752,2002,OHIO,504000
753,2002,OKLAHOMA,51000
754,2002,OREGON,885000
755,2002,OTHER STATES,216000
756,2002,PENNSYLVANIA,827000
757,2002,SOUTH CAROLINA,14000
758,2002,SOUTH DAKOTA,2410000
759,2002,TENNESSEE,137000
760,2002,TEXAS,985000
761,2002,UTAH,208000
762,2002,VERMONT,274000
763,2002,VIRGINIA,79000
764,2002,WASHINGTON,561000
765,2002,WEST VIRGINIA,151000
766,2002,WISCONSIN,2461000
767,2002,WYOMING,383000
768,2001,US TOTAL,64901000
769,2001,ALABAMA,235000
770,2001,ARIZONA,1142000
771,2001,ARKANSAS,1617000
772,2001,CALIFORNIA,7857000
773,2001,COLORADO,529000
774,2001,FLORIDA,3432000
775,2001,GEORGIA,188000
776,2001,HAWAII,84000
777,2001,IDAHO,1610000
778,2001,ILLINOIS,251000
779,2001,INDIANA,186000
780,2001,IOWA,875000
781,2001,KANSAS,530000
782,2001,KENTUCKY,125000
783,2001,LOUISIANA,572000
784,2001,MAINE,106000
785,2001,MARYLAND,55000
786,2001,MICHIGAN,2827000
787,2001,MINNESOTA,1859000
788,2001,MISSISSIPPI,224000
789,2001,MISSOURI,336000
790,2001,MONTANA,4578000
791,2001,NEBRASKA,1115000
792,2001,NEVADA,36000
793,2001,NEW JERSEY,71000
794,2001,NEW MEXICO,350000
795,2001,NEW YORK,1781000
796,2001,NORTH CAROLINA,172000
797,2001,NORTH DAKOTA,9408000
798,2001,OHIO,569000
799,2001,OKLAHOMA,105000
800,2001,OREGON,1200000
801,2001,OTHER STATES,137000
802,2001,PENNSYLVANIA,785000
803,2001,SOUTH CAROLINA,67000
804,2001,SOUTH DAKOTA,12220000
805,2001,TENNESSEE,131000
806,2001,TEXAS,1533000
807,2001,UTAH,315000
808,2001,VERMONT,249000
809,2001,VIRGINIA,94000
810,2001,WASHINGTON,1048000
811,2001,WEST VIRGINIA,410000
812,2001,WISCONSIN,3419000
813,2001,WYOMING,468000
814,2000,US TOTAL,85244000
815,2000,ALABAMA,187000
816,2000,ARIZONA,1322000
817,2000,ARKANSAS,3337000
818,2000,CALIFORNIA,11396000
819,2000,COLORADO,957000
820,2000,FLORIDA,2923000
821,2000,GEORGIA,376000
822,2000,HAWAII,125000
823,2000,IDAHO,2679000
824,2000,ILLINOIS,146000
825,2000,INDIANA,286000
826,2000,IOWA,1206000
827,2000,KANSAS,520000
828,2000,KENTUCKY,54000
829,2000,LOUISIANA,1334000
830,2000,MAINE,143000
831,2000,MARYLAND,52000
832,2000,MICHIGAN,2970000
833,2000,MINNESOTA,3105000
834,2000,MISSISSIPPI,649000
835,2000,MISSOURI,362000
836,2000,MONTANA,4692000
837,2000,NEBRASKA,2610000
838,2000,NEVADA,95000
839,2000,NEW JERSEY,200000
840,2000,NEW MEXICO,739000
841,2000,NEW YORK,2274000
842,2000,NORTH CAROLINA,243000
843,2000,NORTH DAKOTA,13800000
844,2000,OHIO,585000
845,2000,OKLAHOMA,64000
846,2000,OREGON,1665000
847,2000,OTHER STATES,288000
848,2000,PENNSYLVANIA,630000
849,2000,SOUTH DAKOTA,12796000
850,2000,TENNESSEE,104000
851,2000,TEXAS,2986000
852,2000,UTAH,462000
853,2000,VERMONT,211000
854,2000,VIRGINIA,103000
855,2000,WASHINGTON,1151000
856,2000,WEST VIRGINIA,234000
857,2000,WISCONSIN,4385000
858,2000,WYOMING,798000
859,1999,US TOTAL,78664000
860,1999,ALABAMA,185000
861,1999,ARIZONA,1548000
862,1999,ARKANSAS,2592000
863,1999,CALIFORNIA,9486000
864,1999,COLORADO,1436000
865,1999,FLORIDA,4186000
866,1999,GEORGIA,497000
867,1999,HAWAII,32000
868,1999,IDAHO,3110000
869,1999,ILLINOIS,327000
870,1999,INDIANA,437000
871,1999,IOWA,2028000
872,1999,KANSAS,854000
873,1999,KENTUCKY,12000
874,1999,LOUISIANA,821000
875,1999,MAINE,89000
876,1999,MARYLAND,50000
